Keyword,Volume,Keyword Difficulty,CPC (USD),Competitive Density,Number of Results,Intent,SERP Features,Trend
däck,33100,59,0.71,0.99,12400000,Commercial,"Image pack, Local pack, People also ask, Site links","0.45,0.45,1.00,1.00,0.67,0.45,0.55,0.55,0.67,0.82,0.82,0.37"
byta däck,8100,31,0.96,0.52,4800000,Commercial,"Adwords top, FAQ, Featured snippet, Local pack, People also ask, Reviews, Video carousel","0.13,0.11,0.67,1.00,0.30,0.16,0.11,0.11,0.13,0.45,0.82,0.20"
billiga däck,6600,53,0.65,1.00,1150000,Commercial,"Featured snippet, Local pack, People also ask, Reviews, Site links","0.24,0.30,0.82,1.00,0.45,0.36,0.36,0.45,0.45,0.55,0.55,0.24"
däck 365,5400,31,0.79,0.47,74,Navigational,"Adwords top, Image pack, Knowledge panel, People also ask, Reviews, Site links","0.82,0.36,0.30,0.30,0.36,0.55,0.82,0.55,0.24,0.30,0.30,1.00"
köpa däck,3600,54,0.87,1.00,5900000,Transactional,"Image pack, Local pack, People also ask, Reviews, Site links","0.35,0.35,1.00,1.00,0.54,0.44,0.54,0.54,0.67,0.81,0.81,0.44"
däck och fälg,2900,41,0.84,1.00,3890000,Commercial,"Image pack, Local pack, People also ask, Reviews, Site links, Video","0.35,0.35,0.81,0.81,0.54,0.35,0.44,0.54,0.67,1.00,0.81,0.35"
lufttryck däck,2400,20,0.53,0.26,216000,Informational,"Featured snippet, Image pack, People also ask, Video carousel","0.36,0.30,0.55,1.00,0.66,0.43,0.55,0.55,0.43,0.55,0.82,0.36"
fälgar och däck,1900,48,0.69,1.00,4340000,Commercial,"Image pack, Local pack, People also ask, Site links, Video","0.45,0.45,1.00,0.83,0.66,0.45,0.45,0.66,0.55,0.83,0.66,0.45"
kenneths däck,1900,28,0.55,0.11,66,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.36,0.30,0.55,0.66,0.36,0.23,0.23,0.23,0.30,0.43,1.00,0.55"
punkteringsfria däck,1600,23,0.54,1.00,39200,Informational,"Featured snippet, People also ask, Reviews, Video carousel","0.20,0.16,0.28,0.36,0.36,0.44,0.53,0.53,0.44,1.00,0.24,0.16"
svenska bil o däck,1600,27,0.80,0.16,493000,Navigational,"Adwords bottom, FAQ, Knowledge panel, Reviews, Site links","0.68,0.68,0.84,0.84,0.84,0.84,1.00,1.00,1.00,1.00,0.84,0.68"
svenska bil och däck,1600,26,0.80,0.16,86,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.68,0.68,0.84,0.84,0.84,0.84,1.00,1.00,1.00,1.00,0.84,0.68"
allround däck,1300,21,0.50,1.00,152000,Informational,"Adwords bottom, Image pack, People also ask, Reviews","0.55,0.34,0.45,0.66,0.34,0.25,0.30,0.45,0.45,0.66,1.00,0.55"
balansera däck,1300,20,0.52,1.00,82700,Commercial,"Featured snippet, Local pack, People also ask, Reviews, Video carousel, Video","0.25,0.20,0.45,1.00,0.45,0.34,0.34,0.30,0.20,0.45,1.00,0.30"
balansering däck,1300,20,0.52,1.00,298000,Commercial,"Adwords bottom, Featured snippet, Local pack, People also ask, Shopping ads, Video carousel, Video","0.25,0.20,0.45,1.00,0.45,0.34,0.34,0.30,0.20,0.45,1.00,0.30"
continental däck,1300,23,1.05,1.00,78,Commercial,"Image pack, Local pack, People also ask, Reviews, Site links","0.37,0.42,1.00,1.00,0.54,0.42,0.42,0.54,0.54,0.54,0.42,0.20"
byta däck datum,1000,28,0.87,0.28,236000,Informational,"FAQ, Featured snippet, People also ask","0.01,0.04,0.67,1.00,0.05,0.02,0.01,0.01,0.04,0.15,0.15,0.01"
km däck,1000,19,0.59,0.41,7200000,"Navigational, Transactional","Local pack, Reviews, Site links, Video","0.13,0.13,0.42,0.79,0.54,0.30,0.30,0.37,0.67,1.00,0.25,0.16"
lufttryck däck registreringsnummer,1000,23,0.51,0.28,68,Informational,"Featured snippet, Image pack, People also ask, Reviews, Site links","0.06,0.07,0.20,0.81,0.53,0.28,0.44,0.36,0.36,0.53,1.00,0.28"
ms däck,1000,19,0.54,1.00,629000,Informational,"FAQ, People also ask, Reviews","0.54,0.37,0.54,0.54,0.37,0.25,0.30,0.42,0.54,0.67,1.00,0.67"
regummerade däck,1000,20,0.64,1.00,87,Informational,"FAQ, Featured snippet, Local pack, People also ask, Reviews, Video","0.55,0.55,0.81,1.00,0.63,0.55,0.55,0.63,0.63,0.63,0.63,0.45"
valla däck,1000,22,0.55,0.20,81,Navigational,"Image pack, Knowledge panel, Reviews, Site links, Video","0.38,0.31,1.00,1.00,0.46,0.38,0.38,0.46,0.53,1.00,1.00,0.38"
billiga däck online,880,51,0.88,1.00,471000,Informational,"FAQ, Featured snippet, Reviews, Site links","0.14,0.21,0.68,0.84,0.46,0.31,0.38,0.46,0.53,1.00,1.00,0.38"
bra billiga däck,880,40,0.60,1.00,525000,Commercial,"FAQ, Featured snippet, Local pack, Reviews, Site links","0.25,0.25,1.00,1.00,0.38,0.25,0.25,0.31,0.38,0.46,0.38,0.21"
bästa däcken fram eller bak,880,20,0.67,0.08,117000,Commercial,"Featured snippet, People also ask, Reviews, Site links, Video carousel, Video","0.11,0.06,0.28,1.00,0.24,0.09,0.07,0.06,0.05,0.24,0.81,0.13"
däck göteborg,880,25,0.67,0.51,4890000,Commercial,"Image pack, Local pack, Reviews, Site links, Video carousel","0.37,0.45,0.63,1.00,0.55,0.37,0.45,0.37,0.45,0.63,1.00,0.45"
däck luleå,880,18,0.77,0.39,1450000,Commercial,"Local pack, Reviews, Site links","0.17,0.17,0.31,0.84,0.53,0.38,0.46,0.46,0.46,1.00,0.25,0.17"
däck malmö,880,18,0.55,0.39,2490000,Commercial,"Local pack, Reviews, Site links","0.55,0.37,0.63,0.63,0.55,0.45,0.55,0.37,0.37,0.63,1.00,0.81"
hastighetsindex däck,880,20,0.51,0.28,211000,Informational,"FAQ, Featured snippet, Image pack, People also ask, Video","0.24,0.37,1.00,1.00,0.55,0.37,0.37,0.37,0.45,0.55,0.55,0.24"
lufttryck däck tabell,880,25,0.56,0.28,16300,Informational,"Featured snippet, Image pack, People also ask, Site links","0.21,0.25,0.53,0.84,0.53,0.31,0.46,0.38,0.46,0.68,1.00,0.31"
rullomkrets däck,880,28,0.59,0.04,87,Informational,"Image pack, People also ask, Site links","0.16,0.16,0.79,1.00,0.42,0.25,0.25,0.25,0.37,0.54,0.54,0.16"
365 däck,720,28,0.66,0.57,89,Commercial,"Adwords bottom, Image pack, Reviews, Site links","0.37,0.37,0.77,1.00,0.55,0.37,0.30,0.37,0.55,0.77,0.77,0.37"
billiga däck tyskland,720,32,0.55,1.00,97,Informational,"FAQ, Featured snippet, Image pack, People also ask, Reviews, Site links","0.30,0.37,1.00,0.81,0.45,0.37,0.30,0.45,0.45,0.55,0.45,0.20"
byta däck göteborg,720,19,0.76,0.55,925000,Commercial,"Local pack, People also ask, Reviews","0.11,0.09,0.30,0.45,0.20,0.13,0.09,0.06,0.09,0.25,1.00,0.20"
c däck,720,17,0.63,1.00,5420000,Commercial,"Adwords top, People also ask, Reviews","0.48,0.48,0.88,1.00,0.88,0.72,0.72,0.72,0.59,0.72,0.72,0.39"
däck helsingborg,720,20,0.58,0.61,1740000,Commercial,"Local pack, Reviews, Site links","0.63,0.30,0.63,0.63,0.45,0.37,0.30,0.37,0.37,0.55,1.00,0.55"
däck kalkylator,720,18,0.55,0.05,70,Informational,"Image pack, Reviews","0.48,0.48,0.88,1.00,0.59,0.48,0.48,0.59,0.72,0.88,0.72,0.39"
däck uppsala,720,19,0.79,0.47,2680000,Commercial,"Local pack, Site links, Video","0.25,0.30,0.77,0.77,0.45,0.45,0.45,0.55,0.55,0.68,1.00,0.55"
däck västerås,720,19,0.55,0.47,1270000,Commercial,"Featured snippet, Local pack, Site links, Video","0.39,0.59,1.00,1.00,0.72,0.48,0.72,0.72,0.48,0.88,1.00,0.39"
hb däck,720,23,0.62,0.13,77,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.14,0.14,0.31,0.68,0.46,0.31,0.31,0.25,0.38,1.00,0.31,0.17"
lidheds däck,720,25,0.60,0.11,72,Navigational,"Image pack, Knowledge panel, Site links","0.14,0.14,0.68,0.68,0.25,0.21,0.21,0.17,0.21,0.53,1.00,0.21"
måste samtliga däck på en personbil vara av samma typ,720,18,0.82,0.02,59,Informational,"FAQ, Featured snippet, Image pack, People also ask","1.00,0.82,1.00,1.00,1.00,0.67,0.67,0.82,0.82,0.82,0.82,0.55"
pelles däck,720,22,0.59,0.09,81,"Informational, Navigational","Adwords bottom, Image pack, Knowledge panel, Reviews","0.16,0.20,0.81,0.81,0.37,0.24,0.24,0.24,0.24,0.63,1.00,0.20"
pirelli däck,720,30,0.59,1.00,65,Informational,"Image pack, People also ask, Reviews, Site links, Video","0.45,0.45,0.77,1.00,0.55,0.45,0.45,0.45,0.55,0.55,0.55,0.37"
rogers däck,720,24,0.52,0.10,52,"Navigational, Commercial","Image pack, Local pack, Site links","0.17,0.14,0.68,0.84,0.31,0.25,0.25,0.21,0.21,0.53,1.00,0.21"
skruvat däck,720,37,0.65,1.00,57,Transactional,"Adwords bottom, FAQ, Image pack, People also ask, Reviews, Shopping ads, Site links","0.24,0.37,1.00,1.00,0.45,0.30,0.20,0.24,0.24,0.55,0.45,0.20"
byta däck pris,590,22,0.86,0.62,1350000,Transactional,"FAQ, Featured snippet, Local pack, People also ask, Reviews","0.16,0.16,0.55,1.00,0.30,0.16,0.11,0.11,0.11,0.37,0.81,0.13"
däck fälg,590,44,0.84,1.00,2500000,Commercial,"Image pack, Local pack, People also ask, Site links, Video","0.48,0.48,0.72,0.88,0.59,0.48,0.48,0.59,0.59,1.00,0.88,0.39"
däck linköping,590,21,0.51,0.31,1490000,Commercial,"Local pack, Reviews, Site links, Video","0.32,0.26,1.00,0.88,0.48,0.32,0.39,0.48,0.48,0.88,0.72,0.32"
guson däck ekerö,590,17,0.60,0.07,67,Navigational,"Adwords bottom, Image pack, Knowledge panel, Site links, Video","0.17,0.14,0.46,0.84,0.31,0.21,0.14,0.17,0.25,0.46,1.00,0.21"
köpa däck online,590,57,1.14,1.00,986000,Informational,"FAQ, Featured snippet, People also ask, Reviews, Site links","0.20,0.25,0.77,1.00,0.30,0.30,0.30,0.30,0.45,0.68,0.68,0.25"
nokia däck,590,20,0.53,1.00,60,Informational,"Featured snippet, People also ask, Reviews, Video","0.44,0.44,1.00,1.00,0.44,0.44,0.36,0.55,0.67,0.82,0.82,0.44"
nya däck,590,39,0.72,1.00,9870000,Commercial,"Image pack, Local pack, People also ask, Reviews, Site links","0.30,0.30,0.68,1.00,0.55,0.45,0.37,0.45,0.45,0.55,0.55,0.37"
r däck,590,20,0.61,1.00,96,Informational,"Featured snippet, People also ask, Reviews, Site links, Video","0.44,0.44,1.00,1.00,0.82,0.67,0.67,0.82,0.67,0.44,0.44,0.36"
skanstull däck,590,28,0.56,0.23,64,Navigational,"Image pack, Knowledge panel, Reviews, Site links","0.32,0.26,0.72,1.00,0.72,0.59,0.39,0.32,0.39,0.72,1.00,0.39"
skanstulls däck,590,26,0.56,0.23,76,Navigational,"Adwords bottom, Image pack, Knowledge panel, People also ask, Reviews, Site links, Video","0.32,0.26,0.72,1.00,0.72,0.59,0.39,0.32,0.39,0.72,1.00,0.39"
vilken typ av däck orsakar mest dammpartiklar från vägarna,590,19,0.67,0.03,58,Informational,"Featured snippet, Image pack, People also ask","1.00,1.00,1.00,1.00,1.00,0.81,0.66,0.66,1.00,0.66,1.00,0.66"
balansera däck pris,480,18,0.53,0.97,25600,Transactional,"Featured snippet, Local pack, People also ask, Reviews","0.32,0.26,0.59,1.00,0.59,0.48,0.39,0.32,0.32,0.48,0.72,0.32"
bil däck,480,55,0.68,1.00,11000000,Informational,"Featured snippet, Local pack, Reviews, Site links","0.44,0.36,0.82,1.00,0.82,0.44,0.44,0.55,0.55,0.55,0.55,0.36"
bohmans däck,480,25,0.50,0.06,68,"Navigational, Commercial","Adwords bottom, Image pack, Local pack, Reviews, Site links","0.20,0.16,0.55,0.68,0.25,0.30,0.30,0.30,0.37,0.68,1.00,0.37"
byta däck malmö,480,17,0.87,0.47,271000,Commercial,"Local pack, People also ask","0.17,0.09,0.31,0.46,0.25,0.14,0.09,0.09,0.09,0.17,1.00,0.46"
byta däck uppsala,480,17,0.87,0.58,289000,Commercial,"Local pack, People also ask, Reviews, Video","0.09,0.06,0.38,0.68,0.31,0.11,0.06,0.05,0.04,0.31,1.00,0.17"
datummärkning däck,480,21,0.55,0.15,2130,Informational,"FAQ, Featured snippet, People also ask, Video","0.32,0.26,0.48,0.88,0.48,0.32,0.32,0.39,0.48,1.00,1.00,0.39"
dawa däck,480,23,0.53,0.13,65,Navigational,"Image pack, Knowledge panel, Site links, Video","0.67,0.82,1.00,0.82,0.67,0.36,0.36,0.44,0.67,0.67,0.67,0.54"
däck jönköping,480,18,0.53,0.47,2210000,Commercial,Local pack,"0.54,0.54,1.00,1.00,0.54,0.54,0.54,0.67,0.54,0.82,1.00,0.36"
däck lund,480,18,0.55,0.24,709000,Commercial,"Local pack, People also ask, Video","0.36,0.24,0.67,0.82,0.55,0.44,0.44,0.36,0.44,0.55,1.00,0.67"
däck mönsterdjup,480,19,0.50,0.14,114000,Informational,"Featured snippet, People also ask, Video","0.26,0.26,0.72,0.88,0.48,0.32,0.26,0.39,0.59,1.00,1.00,0.32"
däck norrköping,480,22,0.60,0.47,1120000,Commercial,"Local pack, Site links, Video","0.36,0.36,0.82,1.00,0.82,0.54,0.54,0.54,0.44,0.54,1.00,0.29"
